npsn,name,address,village,kecamatan,lat,lng,jenjang,student_count,st_male,st_female
69972262,KB BANI SOBAN ANNAHDIYYAH,Kp. Sipon RT 01 RW 10,Bayongbong,Bayongbong,,,PAUD,24,9,15
69867322,KB CERIA 1,KP CILIMUS RT.003 RW.002 Ds.Sukarame Kec.Bayongbong Kab.Garut,Sukarame,Bayongbong,,,PAUD,14,5,9
69878153,KB CERIA 2,CISAAT,Sukarame,Bayongbong,,,PAUD,44,24,20
69867332,KB CERIA 3,KP BATUGEDE,SUKAMANAH,Bayongbong,,,PAUD,36,22,14
69972137,KB CHITRA BUNDA,Kp. Jambansari RT 04 RW 04,Bayongbong,Bayongbong,,,PAUD,14,8,6
69867330,KB DARUL FIKRI,Jl Sindang serang,Ciburuy,Bayongbong,,,PAUD,22,11,11
69993113,KB DARUL HIKAM,KP. KOROPEAK RT. 04 RW. 07,Ciela,Bayongbong,,,PAUD,53,20,33
69960671,KB DARUL SHIBYAN,Kp. Bojong Sari RT 04 RW 03,Mekarjaya,Bayongbong,,,PAUD,21,12,9
69867329,KB JIHADIYAH,URUG,Cikedokan,Bayongbong,,,PAUD,14,10,4
69979870,KB KAPIRARAY,Kp. Gupitan RT 03 RW 08,Sukarame,Bayongbong,,,PAUD,118,61,57
69878163,KB MIFTAHUL ANWAR,KP KIARAPAYUNG,Hegarmanah,Bayongbong,,,PAUD,14,7,7
69948351,KB MIFTAHUL HUDA AL-BURHANIYAH,Kp. Cijelereun RT 03 RW 05,Cikedokan,Bayongbong,,,PAUD,52,27,25
69867320,KB MUTHMAINNAH,KP BATUDATAR,Karyajaya,Bayongbong,,,PAUD,23,14,9
69867325,KB NAFIISATUL ULUM,KP CISIREUM,Sirnagalih,Bayongbong,,,PAUD,1,0,1
69867324,KB NAQILATUL ARWA,KP KIARAPAYUNG,Hegarmanah,Bayongbong,,,PAUD,17,11,6
69867318,KB TUNAS HARAPAN,KP SUKAHEJO,Bayongbong,Bayongbong,,,PAUD,13,6,7
69867315,KB TUNAS HARAPAN MULYASARI,JL SIMPANG BUNDERAN,Mulyasari,Bayongbong,,,PAUD,16,10,6
69867328,KB UMI ZAKIYYAH,KP URUG NANGOH,Cikedokan,Bayongbong,,,PAUD,28,13,15
69826770,KOBER AL - IKHLAS,TEGAL PARUNG,Ciburuy,Bayongbong,,,PAUD,32,14,18
69826967,KOBER AL FALAH,SUKALILAH,Mekarsari,Bayongbong,,,PAUD,27,14,13
69878151,KOBER AL HASANAH,PAMALAYAN,Pamalayan,Bayongbong,,,PAUD,45,18,27
69826944,KOBER AL ISTIQOMAH,RADUG,Sukasenang,Bayongbong,,,PAUD,31,13,18
69827008,KOBER AL MASHOEM,KP CIBODAS KAUM RT 04 RW 01,Banjarsari,Bayongbong,,,PAUD,19,11,8
69878155,KOBER AL MUBAROK,CIJELEREUN,Mekarsari,Bayongbong,,,PAUD,22,8,14
69878154,KOBER AL MUSTHOPA,PURBASANA,Sukasenang,Bayongbong,,,PAUD,26,10,16
69826964,KOBER AR RAUDLAH,URUG DESA,Cikedokan,Bayongbong,,,PAUD,41,19,22
69827048,KOBER MANBA UL HUDA,NARONGTONG,Mekarsari,Bayongbong,,,PAUD,26,16,10
69827077,KOBER MIFTAHUL HIDAYAH,CINISTI,Cinisti,Bayongbong,,,PAUD,33,24,9
69878178,KOBER MIFTAHUL HIDAYAH,CIELA LEBAK,Ciela,Bayongbong,,,PAUD,100,50,50
69826823,KOBER MUSLIMAT NU 1,URUG,Panembong,Bayongbong,,,PAUD,40,24,16
69826928,KOBER MUSTIKA PERMAI,SUKAMULYA RT 01 RW 06,Bayongbong,Bayongbong,,,PAUD,41,24,17
70023670,SPS TAAM NURUL IMAN,Kp.Mekrwangi RT 05 RW 07,Ciburuy,Bayongbong,,,PAUD,38,15,23
20259901,TK AISYIYAH,JL. RAYA SIMPANG DS. MULYASARI,Mulyasari,Bayongbong,,,PAUD,45,18,27
69962898,TK AL ATMA,KP. CIENGANG,Cinisti,Bayongbong,,,PAUD,29,9,20
69867125,TK AL KAUTSAR,JL PAMALAYAN,Ciburuy,Bayongbong,,,PAUD,42,24,18
20260016,TK AL-IKHLAS,KP.SALAKURAY,Salakuray,Bayongbong,,,PAUD,63,36,27
69950841,TK AL-ITTIHAD,Kp. Urug Jambe,Karyajaya,Bayongbong,,,PAUD,17,9,8
69867128,TK AN NAJMUTSAQIB,KP CIOYOD,Mekarjaya,Bayongbong,,,PAUD,20,10,10
70004187,TK ANUGRAH,Kp. Depok RT.01 RW.02,Sirnagalih,Bayongbong,,,PAUD,17,4,13
20260055,TK AT TAOFIK II,JL.RAYA BAYONGBONG TIMUR NO.234,Bayongbong,Bayongbong,,,PAUD,13,7,6
70049274,TK Atikan Saadah Sejahtera,Kp. Kaum Rt 02 Rw.01,Bayongbong,Bayongbong,,,PAUD,25,8,17
20260068,TK BAETURAHMAT,PERUM BUMI SIMPANG MULYASARI,Mulyasari,Bayongbong,,,PAUD,32,20,12
70001463,TK BINA MANDIRI SUKAMANAH,Kp. Panembong RT 01 RW 04,Panembong,Bayongbong,,,PAUD,27,17,10
69867126,TK CERIA 1,CILIMUS,Sukarame,Bayongbong,,,PAUD,16,10,6
69878144,TK CERIA 2,KP CISAAT,Sukarame,Bayongbong,,,PAUD,27,9,18
20260090,TK DARUL QOLAM,KP. DANGDEUR DS MEKARSARI KEC. BYB,Mekarsari,Bayongbong,,,PAUD,45,25,20
69827038,TK INSAN RABBANI,BOJONGWARU,Mekarjaya,Bayongbong,,,PAUD,38,16,22
20259947,TK IT AL-HIKMAH,Jl. Jambansari RT 03 RW 04,Bayongbong,Bayongbong,,,PAUD,35,17,18
69867127,TK LITTLE STAR,PADAREK,Sirnagalih,Bayongbong,,,PAUD,43,15,28
20260167,TK MIFTAHUSSAADAH,KP.CILOA DS.BANJARSARI,Banjarsari,Bayongbong,,,PAUD,33,14,19
20260171,TK MUSLIMAT NU,KP.URUG DS.PANEMBONG,Panembong,Bayongbong,,,PAUD,41,19,22
69996147,TK MUTHMAINNAH,KP. BATU DATAR RT. 01 RW. 02,Karyajaya,Bayongbong,,,PAUD,24,14,10
69979699,TK MUTIARA BANGSA,KP. KALAPA DUA,Mekarjaya,Bayongbong,,,PAUD,19,6,13
69962897,TK NURUL HUDA,KP CIBURUY,Pamalayan,Bayongbong,,,PAUD,71,37,34
20260205,TK PGRI I,JL. RAYA CILIMUS DS. SUKARAME,Sukarame,Bayongbong,,,PAUD,35,16,19
20260280,TK SEJAHTERA I,KOMP. SDN I BAYONGBONG,Bayongbong,Bayongbong,,,PAUD,1,0,1
70004189,TK TUNAS HARAPAN,Kp. Sukahejo RT 02 RW 07,Bayongbong,Bayongbong,,,PAUD,39,14,25
20260339,TK YASFIMIAH,DS.CINISTI KEC. BAYONGBONG,Bayongbong,Bayongbong,,,PAUD,23,15,8
69753193,TKS AL IHSANI,KP. CIBODAS,Banjarsari,Bayongbong,,,PAUD,26,12,14
69753198,TKS IT AL LATIEF,KP. CIBODAS,Banjarsari,Bayongbong,,,PAUD,32,18,14
69753194,TKS NURURROSYIDAH,NARONGTONG,Mekarsari,Bayongbong,,,PAUD,38,16,22
69967793,KB  BUANA PITALOKA,KP. RANCAPAKU RT. 01 RW. 05,Cigagade,Blubur Limbangan,,,PAUD,39,19,20
69827338,KB Al-Barokah,Kp. Talaga RT. 01 RW. 09,Simpen Kaler,Blubur Limbangan,,,PAUD,25,9,16
69867479,KB AL-FURQON,Kp. Lebakcandra,Simpen Kidul,Blubur Limbangan,,,PAUD,25,12,13
69915866,KB AL-HASAN,Kp. Dunguswiru RT 01/04,Dunguswiru,Blubur Limbangan,,,PAUD,39,21,18
69867478,KB AL-HIDA,Kp. Nangkajajar RT. 01 / RW. 04,Pangeureunan,Blubur Limbangan,,,PAUD,24,11,13
